"Ukazatel","IndicatorType","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Narození","4355","2010","2010","Severozápad","CZ04","12629"
"Narození","4355","2010","2010","Severovýchod","CZ05","16906"
"Narození","4355","2010","2010","Jihovýchod","CZ06","18438"
"Narození","4355","2010","2010","Střední Morava","CZ07","13054"
"Narození","4355","2010","2010","Moravskoslezsko","CZ08","13122"
"Narození","4355","2010","2010","Hlavní město Praha","CZ010","14824"
"Narození","4355","2010","2010","Středočeský kraj","CZ020","15262"
"Narození","4355","2010","2010","Jihočeský kraj","CZ031","6959"
"Narození","4355","2010","2010","Plzeňský kraj","CZ032","6252"
"Narození","4355","2010","2010","Karlovarský kraj","CZ041","3324"
"Narození","4355","2010","2010","Ústecký kraj","CZ042","9305"
"Narození","4355","2010","2010","Liberecký kraj","CZ051","5130"
"Narození","4355","2010","2010","Královéhradecký kraj","CZ052","6036"
"Narození","4355","2010","2010","Pardubický kraj","CZ053","5740"
"Narození","4355","2010","2010","Kraj Vysočina","CZ063","5370"
"Narození","4355","2010","2010","Jihomoravský kraj","CZ064","13068"
"Narození","4355","2010","2010","Olomoucký kraj","CZ071","6936"
"Narození","4355","2010","2010","Zlínský kraj","CZ072","6118"
"Narození","4355","2010","2010","Moravskoslezský kraj","CZ080","13122"
"Narození","4355","2011","2011","Česko","CZ","108990"
"Narození","4355","2011","2011","Praha","CZ01","14002"
"Narození","4355","2011","2011","Střední Čechy","CZ02","14565"
"Narození","4355","2011","2011","Jihozápad","CZ03","11983"
"Narození","4355","2011","2011","Severozápad","CZ04","11699"
"Narození","4355","2011","2011","Severovýchod","CZ05","15447"
"Narození","4355","2011","2011","Jihovýchod","CZ06","17528"
"Narození","4355","2011","2011","Střední Morava","CZ07","11917"
"Narození","4355","2011","2011","Moravskoslezsko","CZ08","11849"
"Narození","4355","2011","2011","Hlavní město Praha","CZ010","14002"
"Narození","4355","2011","2011","Středočeský kraj","CZ020","14565"
"Narození","4355","2011","2011","Jihočeský kraj","CZ031","6398"
"Narození","4355","2011","2011","Plzeňský kraj","CZ032","5585"
"Narození","4355","2011","2011","Karlovarský kraj","CZ041","3026"
"Narození","4355","2011","2011","Ústecký kraj","CZ042","8673"
"Narození","4355","2011","2011","Liberecký kraj","CZ051","4662"
"Narození","4355","2011","2011","Královéhradecký kraj","CZ052","5452"
"Narození","4355","2011","2011","Pardubický kraj","CZ053","5333"
"Narození","4355","2011","2011","Kraj Vysočina","CZ063","5086"
"Narození","4355","2011","2011","Jihomoravský kraj","CZ064","12442"
"Narození","4355","2011","2011","Olomoucký kraj","CZ071","6336"
"Narození","4355","2011","2011","Zlínský kraj","CZ072","5581"
"Narození","4355","2011","2011","Moravskoslezský kraj","CZ080","11849"
"Narození","4355","2012","2012","Česko","CZ","108955"
"Narození","4355","2012","2012","Praha","CZ01","14233"
"Narození","4355","2012","2012","Střední Čechy","CZ02","14483"
"Narození","4355","2012","2012","Jihozápad","CZ03","12457"
"Narození","4355","2012","2012","Severozápad","CZ04","11077"
"Narození","4355","2012","2012","Severovýchod","CZ05","15503"
"Narození","4355","2012","2012","Jihovýchod","CZ06","17551"
"Narození","4355","2012","2012","Střední Morava","CZ07","11831"
"Narození","4355","2012","2012","Moravskoslezsko","CZ08","11820"
"Narození","4355","2012","2012","Hlavní město Praha","CZ010","14233"
"Narození","4355","2012","2012","Středočeský kraj","CZ020","14483"
"Narození","4355","2012","2012","Jihočeský kraj","CZ031","6672"
"Narození","4355","2012","2012","Plzeňský kraj","CZ032","5785"
"Narození","4355","2012","2012","Karlovarský kraj","CZ041","2831"
"Narození","4355","2012","2012","Ústecký kraj","CZ042","8246"
"Narození","4355","2012","2012","Liberecký kraj","CZ051","4609"
"Narození","4355","2012","2012","Královéhradecký kraj","CZ052","5489"
"Narození","4355","2012","2012","Pardubický kraj","CZ053","5405"
"Narození","4355","2012","2012","Kraj Vysočina","CZ063","5166"
"Narození","4355","2012","2012","Jihomoravský kraj","CZ064","12385"
"Narození","4355","2012","2012","Olomoucký kraj","CZ071","6319"
"Narození","4355","2012","2012","Zlínský kraj","CZ072","5512"
"Narození","4355","2012","2012","Moravskoslezský kraj","CZ080","11820"
"Narození","4355","2013","2013","Česko","CZ","107117"
"Narození","4355","2013","2013","Praha","CZ01","13913"
"Narození","4355","2013","2013","Střední Čechy","CZ02","14262"
"Narození","4355","2013","2013","Jihozápad","CZ03","11928"
"Narození","4355","2013","2013","Severozápad","CZ04","10933"
"Narození","4355","2013","2013","Severovýchod","CZ05","15118"
"Narození","4355","2013","2013","Jihovýchod","CZ06","17369"
"Narození","4355","2013","2013","Střední Morava","CZ07","11943"
"Narození","4355","2013","2013","Moravskoslezsko","CZ08","11651"
"Narození","4355","2013","2013","Hlavní město Praha","CZ010","13913"
"Narození","4355","2013","2013","Středočeský kraj","CZ020","14262"
"Narození","4355","2013","2013","Jihočeský kraj","CZ031","6397"
"Narození","4355","2013","2013","Plzeňský kraj","CZ032","5531"
"Narození","4355","2013","2013","Karlovarský kraj","CZ041","2840"
"Narození","4355","2013","2013","Ústecký kraj","CZ042","8093"
"Narození","4355","2013","2013","Liberecký kraj","CZ051","4550"
"Narození","4355","2013","2013","Královéhradecký kraj","CZ052","5471"
"Narození","4355","2013","2013","Pardubický kraj","CZ053","5097"
"Narození","4355","2013","2013","Kraj Vysočina","CZ063","4932"
"Narození","4355","2013","2013","Jihomoravský kraj","CZ064","12437"
"Narození","4355","2013","2013","Olomoucký kraj","CZ071","6338"
"Narození","4355","2013","2013","Zlínský kraj","CZ072","5605"
"Narození","4355","2013","2013","Moravskoslezský kraj","CZ080","11651"
"Narození","4355","2014","2014","Česko","CZ","110252"
"Narození","4355","2014","2014","Praha","CZ01","14665"
"Narození","4355","2014","2014","Střední Čechy","CZ02","14631"
"Narození","4355","2014","2014","Jihozápad","CZ03","12147"
"Narození","4355","2014","2014","Severozápad","CZ04","11101"
"Narození","4355","2014","2014","Severovýchod","CZ05","15434"
"Narození","4355","2014","2014","Jihovýchod","CZ06","18184"
"Narození","4355","2014","2014","Střední Morava","CZ07","12044"
"Narození","4355","2014","2014","Moravskoslezsko","CZ08","12046"
"Narození","4355","2014","2014","Hlavní město Praha","CZ010","14665"
"Narození","4355","2014","2014","Středočeský kraj","CZ020","14631"
"Narození","4355","2014","2014","Jihočeský kraj","CZ031","6460"
"Narození","4355","2014","2014","Plzeňský kraj","CZ032","5687"
"Narození","4355","2014","2014","Karlovarský kraj","CZ041","2779"
"Narození","4355","2014","2014","Ústecký kraj","CZ042","8322"
"Narození","4355","2014","2014","Liberecký kraj","CZ051","4466"
"Narození","4355","2014","2014","Královéhradecký kraj","CZ052","5533"
"Narození","4355","2014","2014","Pardubický kraj","CZ053","5435"
"Narození","4355","2014","2014","Kraj Vysočina","CZ063","5345"
"Narození","4355","2014","2014","Jihomoravský kraj","CZ064","12839"
"Narození","4355","2014","2014","Olomoucký kraj","CZ071","6420"
"Narození","4355","2014","2014","Zlínský kraj","CZ072","5624"
"Narození","4355","2014","2014","Moravskoslezský kraj","CZ080","12046"
"Narození","4355","2015","2015","Česko","CZ","111162"
"Narození","4355","2015","2015","Praha","CZ01","14808"
"Narození","4355","2015","2015","Střední Čechy","CZ02","14644"
"Narození","4355","2015","2015","Jihozápad","CZ03","12505"
"Narození","4355","2015","2015","Severozápad","CZ04","11090"
"Narození","4355","2015","2015","Severovýchod","CZ05","15634"
"Narození","4355","2015","2015","Jihovýchod","CZ06","18183"
"Narození","4355","2015","2015","Střední Morava","CZ07","12385"
"Narození","4355","2015","2015","Moravskoslezsko","CZ08","11913"
"Narození","4355","2015","2015","Hlavní město Praha","CZ010","14808"
"Narození","4355","2015","2015","Středočeský kraj","CZ020","14644"
"Narození","4355","2015","2015","Jihočeský kraj","CZ031","6627"
"Narození","4355","2015","2015","Plzeňský kraj","CZ032","5878"
"Narození","4355","2015","2015","Karlovarský kraj","CZ041","2738"
"Narození","4355","2015","2015","Ústecký kraj","CZ042","8352"
"Narození","4355","2015","2015","Liberecký kraj","CZ051","4704"
"Narození","4355","2015","2015","Královéhradecký kraj","CZ052","5616"
"Narození","4355","2015","2015","Pardubický kraj","CZ053","5314"
"Narození","4355","2015","2015","Kraj Vysočina","CZ063","5366"
"Narození","4355","2015","2015","Jihomoravský kraj","CZ064","12817"
"Narození","4355","2015","2015","Olomoucký kraj","CZ071","6521"
"Narození","4355","2015","2015","Zlínský kraj","CZ072","5864"
"Narození","4355","2015","2015","Moravskoslezský kraj","CZ080","11913"
"Narození","4355","2016","2016","Česko","CZ","113083"
"Narození","4355","2016","2016","Praha","CZ01","14984"
"Narození","4355","2016","2016","Střední Čechy","CZ02","14808"
"Narození","4355","2016","2016","Jihozápad","CZ03","12727"
"Narození","4355","2016","2016","Severozápad","CZ04","11132"
"Narození","4355","2016","2016","Severovýchod","CZ05","16170"
"Narození","4355","2016","2016","Jihovýchod","CZ06","18561"
"Narození","4355","2016","2016","Střední Morava","CZ07","12605"
"Narození","4355","2016","2016","Moravskoslezsko","CZ08","12096"
"Narození","4355","2016","2016","Hlavní město Praha","CZ010","14984"
"Narození","4355","2016","2016","Středočeský kraj","CZ020","14808"
"Narození","4355","2016","2016","Jihočeský kraj","CZ031","6765"
"Narození","4355","2016","2016","Plzeňský kraj","CZ032","5962"
"Narození","4355","2016","2016","Karlovarský kraj","CZ041","2825"
"Narození","4355","2016","2016","Ústecký kraj","CZ042","8307"
"Narození","4355","2016","2016","Liberecký kraj","CZ051","4976"
"Narození","4355","2016","2016","Královéhradecký kraj","CZ052","5639"
"Narození","4355","2016","2016","Pardubický kraj","CZ053","5555"
"Narození","4355","2016","2016","Kraj Vysočina","CZ063","5331"
"Narození","4355","2016","2016","Jihomoravský kraj","CZ064","13230"
